id_sede,ruc,razon_social,nombre_comercial,direccion,distrito,provincia,departamento,coordenadas_gps,confidence,score,query,formatted_address,location_type,reasons
9,20603311567,CENTRO ODONTOLOGICO BASILIOS DENT SAC,CONSULTORIO BASILIOS DENT,MZ E LT 05 URB LAS VIRREYNAS - LURIN,LURIN,LIMA,LIMA,"-12.193566,-76.945548",medium,68,"CONSULTORIO BASILIOS DENT, MZ E LT 05 URB LAS VIRREYNAS - LURIN, Perú","Av. Central 636, Villa EL Salvador 15831, Perú",ROOFTOP,location_type=ROOFTOP; establishment result; partial_match; province match; business-name candidate
11,10086778187,ABANTO FLORIAN MARIA FLORINDA,Globaldent Center,JR TRUJILLO 549 - SMP,SAN MARTIN DE PORRES,LIMA,LIMA,"-12.030863,-77.092599",high,95,"JR TRUJILLO 549 - SMP, SAN MARTIN DE PORRES, Perú","Jr. Trujillo 549, Callao 15106, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; province match; address token match
12,10086340351,NUÑEZ CABALLERO EMILIA ELIZABETH,C O DRA NUÑEZ,AV LOS ALISOS 889,LOS OLIVOS,LIMA,LIMA,"-11.983808,-77.074469",high,95,"AV LOS ALISOS 889, LOS OLIVOS, Perú","Av. Los Alisos 889, Lima 15301, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; province match; address token match
17,10005083317,MALDONADO MARTEL RICARDO ANTONIO,CLIN. VET. FRAY MARTIN,AV BETA 2006 III ETAPA MZ Ñ LT 1 - LOS OLIVOS,LOS OLIVOS,LIMA,LIMA,"-12.008570,-77.071026",high,77,"AV BETA 2006 III ETAPA MZ Ñ LT 1 - LOS OLIVOS, Perú","mz ñ, Av Beta 2006, Lima 15302, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; partial_match; province match; address token match
21,20601616905,PEKYS PET,PEKYS PET,JR LOS GIRASOLES 899,LOS OLIVOS,LIMA,LIMA,"-12.009684,-77.072315",high,95,"JR LOS GIRASOLES 899, LOS OLIVOS, Perú","Jr.Los Girasoles 899, Lima 15302, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; province match; address token match
23,10453824328,ROJAS ACOSTA IVAN SEGUNDO,CANICAT,MZ E LOT 2 SECTOR A2 PROYECTO PILOTO - VENTANILLA,VENTANILLA,LIMA,LIMA,"-11.986538,-77.054161",medium,61,"CANICAT, VENTANILLA, Perú","Los Chancas 198, Independencia 15332, Perú",ROOFTOP,location_type=ROOFTOP; establishment result; partial_match; province match
36,10734263708,DANIELA DEL ROSARIO PALACIOS BARBA,DRA DANIELA BARBA,AV. PRINCIPAL 892 urb Jorge chavez - SURQUILLO,SURQUILLO,LIMA,LIMA,"-12.119710,-77.004604",high,95,"AV. PRINCIPAL 892 urb Jorge chavez - SURQUILLO, Perú","Avenida Principal 892, Lima 15038, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; province match; address token match
41,10700301686,LEONARDO GALINDO JURADO,VETERINARIA GALINDO,AA.HH. MICAELA BASTIDAS MZ H LT 1 - VENTANILLA -PACHACUTEC,VENTANILLA,LIMA,LIMA,"-11.867957,-77.126046",low,42,"LEONARDO GALINDO JURADO, AA.HH. MICAELA BASTIDAS MZ H LT 1 - VENTANILLA -PACHACUTEC, Perú","Av. Micaela Bastidas, Ventanilla 07056, Perú",GEOMETRIC_CENTER,location_type=GEOMETRIC_CENTER; route result; partial_match; district match; address token match
42,10405062211,HELGA GONZALES NIÑO,Dental Ingeniería,Enrique La Rosa 272 - San Martín de Porres,SAN MARTIN DE PORRES,LIMA,LIMA,"-12.024124,-77.049928",high,95,"Enrique La Rosa 272 - San Martín de Porres, Perú","Enrique La Rosa 272, Lima 15102, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; province match; address token match
47,10067253871,Tsukamoto Vilchez Luis,Servicios odontólogicos tsukamoto Vilchez Luis,JR.LEONCIO PRADO 2D0 PISO 1053 - MAGDALENA,MAGDALENA,LIMA,LIMA,"-12.090265,-77.072308",low,42,"JR.LEONCIO PRADO 2D0 PISO 1053 - MAGDALENA, Perú","Jr.Leoncio Prado, Magdalena del Mar 15086, Perú",GEOMETRIC_CENTER,location_type=GEOMETRIC_CENTER; route result; partial_match; district match; address token match
56,10401118816,JOSE ANTONIO CONTRERAS LEON,VETERINARIA LULA PET'S,JR MERCURIO 7542 URB SOL DE ORO- LOS OLIVOS,LOS OLIVOS,LIMA,LIMA,"-11.998758,-77.063226",high,77,"JR MERCURIO 7542 URB SOL DE ORO- LOS OLIVOS, Perú","Mercurio 7542, Lima 15302, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; partial_match; province match; address token match
58,20602461841,IMPORT & EXPORT GRUPO MILENIUM S.A.C.,ONG SONRISAS,"Av Antúnez de Mayolo 1417, URB Los Pinares 2do piso",LOS OLIVOS,LIMA,LIMA,"-11.995896,-77.081010",high,95,"Av Antúnez de Mayolo 1417, URB Los Pinares 2do piso, LOS OLIVOS, Perú","2do piso, Av. Santiago Antunez de Mayolo 1417, Lima 15302, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; province match; address token match
59,20602461841,IMPORT & EXPORT GRUPO MILENIUM S.A.C.,ONG SONRISAS,Av Perú N- 2131,SAN MARTIN DE PORRES,LIMA,LIMA,"-12.031998,-77.068048",high,85,"Av Perú N- 2131, SAN MARTIN DE PORRES, Perú","Av. Perú 2131, Lima 15101, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; province match
